company,companyLabel,countryLabel,shipsBuilt,sizeClass,shipsInClass
http://www.wikidata.org/entity/Q316438,Deutsche Werft,Веймарская республика,66,3_mini-handy (100-130м),8
http://www.wikidata.org/entity/Q316438,Deutsche Werft,Германская империя,66,3_mini-handy (100-130м),8
http://www.wikidata.org/entity/Q316438,Deutsche Werft,Германский рейх,66,3_mini-handy (100-130м),8
http://www.wikidata.org/entity/Q573094,Заводы Шихау,Пруссия,155,2_прибрежное (25-100м),23
http://www.wikidata.org/entity/Q573094,Заводы Шихау,Германский рейх,155,2_прибрежное (25-100м),23
http://www.wikidata.org/entity/Q617597,Alexander Stephen and Sons,Великобритания,87,3_mini-handy (100-130м),10
http://www.wikidata.org/entity/Q617597,Alexander Stephen and Sons,Великобритания,87,5_handymax (180-200м),3
http://www.wikidata.org/entity/Q626585,Верфь Hyundai Mipo,Республика Корея,1481,4_handysize (130-180м),190
http://www.wikidata.org/entity/Q763052,Vickers-Armstrongs,Великобритания,123,4_handysize (130-180м),15
http://www.wikidata.org/entity/Q848977,Harland and Wolff,Великобритания,434,7_capesize (295-330м),1
http://www.wikidata.org/entity/Q924701,Бродосплит,Хорватия,107,2_прибрежное (25-100м),27
http://www.wikidata.org/entity/Q1029631,Cammell Laird,Великобритания,257,3_mini-handy (100-130м),21
http://www.wikidata.org/entity/Q1189406,Nylands mekaniske verksted,Норвегия,304,2_прибрежное (25-100м),14
http://www.wikidata.org/entity/Q1289733,Thames Ironworks and Shipbuilding Company,Великобритания,72,2_прибрежное (25-100м),13
http://www.wikidata.org/entity/Q1327429,Fincantieri,Италия,270,6_panamax (200-295м),122
http://www.wikidata.org/entity/Q1393251,Fairfield Shipbuilding and Engineering Company,Великобритания,181,4_handysize (130-180м),36
http://www.wikidata.org/entity/Q1393251,Fairfield Shipbuilding and Engineering Company,Великобритания,181,3_mini-handy (100-130м),16
http://www.wikidata.org/entity/Q1549757,Scotts Shipbuilding and Engineering Company,Великобритания,79,4_handysize (130-180м),16
http://www.wikidata.org/entity/Q1682990,Janssen & Schmilinsky,Германия,9,2_прибрежное (25-100м),4
http://www.wikidata.org/entity/Q1691902,Joh. C. Tecklenborg,Германия,36,3_mini-handy (100-130м),7
http://www.wikidata.org/entity/Q1699428,John Brown & Company,Великобритания,224,4_handysize (130-180м),30
http://www.wikidata.org/entity/Q1747787,Rickmers Werft,Германия,48,3_mini-handy (100-130м),20
http://www.wikidata.org/entity/Q1747787,Rickmers Werft,Германский рейх,48,3_mini-handy (100-130м),20
http://www.wikidata.org/entity/Q1778277,Odense Steel Shipyard,Дания,188,5_handymax (180-200м),15
http://www.wikidata.org/entity/Q1973983,Nederlandse Scheepsbouw Maatschappij,Нидерланды,79,2_прибрежное (25-100м),3
http://www.wikidata.org/entity/Q2210573,Roßlauer Schiffswerft,ГДР,61,2_прибрежное (25-100м),39
http://www.wikidata.org/entity/Q2279275,Shipyard De Hoop,Нидерланды,36,2_прибрежное (25-100м),11
http://www.wikidata.org/entity/Q2279275,Shipyard De Hoop,Нидерланды,36,3_mini-handy (100-130м),16
http://www.wikidata.org/entity/Q4011196,Vickers Shipbuilding and Engineering,Великобритания,31,4_handysize (130-180м),4
http://www.wikidata.org/entity/Q5163305,Consolidated Steel Corporation,США,185,3_mini-handy (100-130м),7
http://www.wikidata.org/entity/Q5599444,Great Lakes Engineering Works,США,28,2_прибрежное (25-100м),3
http://www.wikidata.org/entity/Q6198710,NKK,Япония,184,3_mini-handy (100-130м),8
http://www.wikidata.org/entity/Q7257522,Huntington Ingalls Industries,США,18,2_прибрежное (25-100м),1
