companyLabel,countryLabel,shipsBuilt,avgLength,latestYear,companyCoordinates
Бурмейстер и Вайн,Дания,124,186.13775280898876404494,1995,Point(12.568888888 55.676111111)
Николаевский судостроительный завод,Украина,123,155.3562962962962962963,2008,Point(31.995 46.975)
Q11269026,Япония,123,156.32808695652173913043,2020,Point(133.069527777 34.210277777)
Bethlehem Steel,США,122,188.13090909090909090909,1989,Point(-75.375555555 40.626111111)
Q1408079,Швеция,122,192.200625,2012,Point(13.0 55.583333333)
Q109461966,Китай,120,66.63641025641025641026,2017,
Балтийский завод,Россия,118,168.82867924528301886792,2022,Point(30.316666666 59.95)
Черноморский судостроительный завод,Украина,118,171.99784313725490196078,2014,Point(31.995 46.975)
Q3437865,Норвегия,118,108.04872093023255813953,2010,Point(5.2956306 60.3887469)
Germaniawerft,Германский рейх,117,107.19666666666666666667,1940,Point(10.155833 54.318056)
AG Weser,Германия,116,145.249,1981,Point(8.748611111 53.112222222)
AG Weser,Германский рейх,116,145.249,1981,Point(8.748611111 53.112222222)
Schichau Seebeck,Германия,116,127.70235849056603773585,2011,Point(8.5846406 53.5263016)
Q483564,Республика Корея,111,238.79708333333333333333,2018,Point(128.681111111 35.228055555)
Бродосплит,Хорватия,111,165.94990740740740740741,2018,Point(16.44 43.51)
Чатемская верфь,Великобритания,111,71.45571428571428571429,1941,Point(0.527777777 51.397222222)
Q8207463,Япония,108,112.22916666666666666667,2016,Point(132.765555555 33.841388888)
Q17217132,Япония,108,200.88673076923076923077,2023,
Q2079531,Германия,107,87.55555555555555555556,2009,Point(9.401388888 53.843888888)
Q1774285,Норвегия,106,106.87563106796116504854,2019,Point(5.853888888 62.356388888)
Q5389052,Швеция,106,151.71111111111111111111,1978,Point(11.9675 57.7075)
Flender Werke,Германия,105,157.87410989010989010989,2003,Point(10.686388888 53.869722222)
Flender Werke,Нацистская Германия,105,157.87410989010989010989,2003,Point(10.686388888 53.869722222)
Flender Werke,Германский рейх,105,157.87410989010989010989,2003,Point(10.686388888 53.869722222)
Девонпорт (военно-морская база),Великобритания,104,121.48578947368421052632,1970,Point(-4.185 50.385)
Q18338801,Япония,104,98.23107843137254901961,2015,Point(132.765555555 33.841388888)
Avondale Shipyards,США,103,194.20916666666666666667,2006,Point(-90.185 29.924)
Q1673509,Германия,103,114.78734693877551020408,2009,Point(8.54138889 53.18472222)
Q5976644,США,103,146.90428571428571428571,1945,
Q24204847,Великобритания,102,70.81333333333333333333,1916,Point(-4.9548 51.6952)
Варненский судостроительный завод,Болгария,102,158.01472527472527472527,2012,Point(27.901388888 43.195277777)
Fore River Shipyard,США,100,483.005,1985,Point(-70.972388888 42.238819444)
Q115322850,Япония,98,255.36846938775510204082,2018,Point(133.835277777 34.333888888)
Портсмут,Великобритания,97,127.92038461538461538462,1968,Point(-1.1025 50.804166666)
Karlskronavarvet,Швеция,96,63.97222222222222222222,2012,Point(15.65 56.18333333)
Q2477530,Норвегия,95,90.55152173913043478261,2021,Point(5.821944444 62.340833333)
Q5629591,Филиппины,95,278.08271276595744680851,2019,
Q56239675,Нидерланды,95,91.9343010752688172043,2017,
Q100235343,Нидерланды,95,93.58703296703296703297,2023,Point(5.884444444 52.573333333)
Q11957113,Норвегия,94,136.94294117647058823529,1971,Point(10.72707694 59.90961)
Нью-Йоркская военно-морская верфь,США,92,487.12857142857142857143,1941,Point(-73.973436111 40.702763888)
Соломбальская верфь (казённая мануфактура),Российская империя,91,46.95,1856,Point(40.504 64.59)
Q52265373,Норвегия,91,93.87171590909090909091,2020,Point(9.6850875 59.0548355)
Wärtsilä,Финляндия,90,143.41627906976744186047,1998,Point(24.9375 60.170833333)
Austal,Австралия,90,64.305745,2021,Point(115.781 -32.169)
Q1559702,Швеция,89,152.38982456140350877193,1988,Point(11.93694 57.70917)
Адмиралтейские верфи,Россия,89,153.97423076923076923077,2012,Point(30.2725 59.91916667)
Q5166879,Великобритания,88,59.4,1947,Point(-0.4315677 53.8425488)
Palmers Shipbuilding and Iron Company,Великобритания,87,110.266,1944,Point(-1.49 54.981388888)
Q617597,Великобритания,87,136.60405405405405405405,1967,Point(-4.32967 55.8633)
IHI Corporation,Япония,86,232.18108108108108108108,2012,Point(139.691666666 35.689444444)
Q116689843,США,86,82.00204767441860465116,2018,Point(-90.376674665 29.585286109)
Q2578500,Великобритания,85,169.24,1985,Point(-1.385 54.91)
Q5305967,США,85,0,1945,Point(-80.0 40.441666666)
Q1676408,Великобритания,84,104.58125,1965,Point(-1.3002 50.7595)
