companyLabel,countryLabel,shipsBuilt,avgLength,latestYear,coordinates
William Cramp and Sons,США,149,1350.99857142857142857143,1930,Point(-75.118333333 39.971666666)
Neptun Werft,Германия,147,197.39101694915254237288,2025,Point(12.133333333 54.083333333)
Северная верфь,Россия,145,106.77844444444444444444,2010,Point(30.2472 59.8758)
Lürssen-Kröger-Werft,,144,84.3630303030303030303,2021,Point(9.720555555 54.309722222)
Cestné a Stavebné Mechanizmy Tisovec,Словакия,143,109.88353383458646616541,1992,Point(18.165833333 48.9575)
Boston Navy Yard,США,143,88.4,1945,Point(-71.0525 42.376111111)
Scheepswerf Pattje,Нидерланды,142,77.82802816901408450704,2017,Point(6.651472222 53.18525)
Fukuoka Shipbuilding,Япония,141,123.68688888888888888889,2022,Point(130.401666666 33.59)
Royal Niestern Sander,Нидерланды,140,93.26536231884057971014,2024,Point(6.91666667 53.31833333)
Fujian Mawei Shipbuilding,Китай,139,119.0439781021897810219,2024,Point(119.291666666 26.076944444)
Minaminippon Shipbuilding,Япония,139,186.2607518796992481203,2022,Point(131.6125 33.238055555)
Nordseewerke,Германия,134,172.11677419354838709677,2013,Point(7.206111111 53.366944444)
Kitanihon Shipbuilding,Япония,130,138.1147619047619047619,2023,
Mangalia Shipyard,Румыния,130,205.32,2017,Point(28.582777777 43.817222222)
Jiangsu Hantong Ship Heavy Industry,Китай,129,201.14482926829268292683,2022,
Higaki Shipbuilding,Япония,129,105.828359375,2014,Point(132.765555555 33.841388888)
"R. & W. Hawthorn, Leslie and Company",Великобритания,129,125.94733333333333333333,1968,Point(-1.5128 54.9718)
ИХЦ,Нидерланды,128,120.08819672131147540984,2016,Point(4.774444444 51.822222222)
Todd Pacific Shipyards,США,127,116.41666666666666666667,2014,Point(-122.33 47.605)
Langsten Slip & Båtbyggeri,Норвегия,126,94.55457627118644067797,2023,Point(6.929236 62.5844629)
Murakami Hide Shipbuilding,Япония,126,100.49508064516129032258,2014,Point(132.765555555 33.841388888)
3. Maj,Хорватия,126,173.92933684210526315789,2023,Point(14.3944 45.3369)
3. Maj,Австро-Венгрия,126,173.92933684210526315789,2023,Point(14.3944 45.3369)
3. Maj,Югославия,126,173.92933684210526315789,2023,Point(14.3944 45.3369)
Volkswerft,Германия,126,154.18326923076923076923,2016,Point(13.081944444 54.309166666)
Vickers-Armstrongs,Великобритания,126,166.82279411764705882353,2010,Point(-0.125972222 51.492222222)
Qingshan Shipyard,Китай,125,159.7574032258064516129,2018,Point(114.2975 30.595)
Бурмейстер и Вайн,Дания,124,186.13775280898876404494,1995,Point(12.568888888 55.676111111)
Shimanami Shipyard,Япония,123,156.32808695652173913043,2020,Point(133.069527777 34.210277777)
Николаевский судостроительный завод,Украина,123,155.3562962962962962963,2008,Point(31.995 46.975)
Kockums,Швеция,122,192.200625,2012,Point(13.0 55.583333333)
Bethlehem Steel,США,122,188.13090909090909090909,1989,Point(-75.375555555 40.626111111)
Fujian Southeast Shipyard,Китай,120,66.63641025641025641026,2017,
Bergen Mekaniske Verksted,Норвегия,118,108.04872093023255813953,2010,Point(5.2956306 60.3887469)
Черноморский судостроительный завод,Украина,118,171.99784313725490196078,2014,Point(31.995 46.975)
Балтийский завод,Россия,118,168.82867924528301886792,2022,Point(30.316666666 59.95)
Germaniawerft,Германский рейх,117,107.19666666666666666667,1940,Point(10.155833 54.318056)
Schichau Seebeck,Германия,116,127.70235849056603773585,2011,Point(8.5846406 53.5263016)
AG Weser,Германия,116,145.249,1981,Point(8.748611111 53.112222222)
AG Weser,Германский рейх,116,145.249,1981,Point(8.748611111 53.112222222)
Huangpu Wenchong Shipbuilding,Китай,112,172.27386792452830188679,2023,Point(113.41333333 23.08111111)
Чатемская верфь,Великобритания,111,71.45571428571428571429,1941,Point(0.527777777 51.397222222)
Бродосплит,Хорватия,111,165.94990740740740740741,2018,Point(16.44 43.51)
STX Offshore & Shipbuilding,Республика Корея,111,238.79708333333333333333,2018,Point(128.681111111 35.228055555)
Shin Kasado Dockyard,Япония,108,200.88673076923076923077,2023,
Asakawa Shipbuilding,Япония,108,112.22916666666666666667,2016,Point(132.765555555 33.841388888)
Shipyard De Hoop,Нидерланды,108,104.32857142857142857143,2020,Point(6.09821677 51.853802)
Peters Werft,Германия,107,87.55555555555555555556,2009,Point(9.401388888 53.843888888)
Eriksbergs Mekaniska Verkstad,Швеция,106,151.71111111111111111111,1978,Point(11.9675 57.7075)
Kleven Verft,Норвегия,106,106.87563106796116504854,2019,Point(5.853888888 62.356388888)
Flender Werke,Германия,105,157.87410989010989010989,2003,Point(10.686388888 53.869722222)
Flender Werke,Нацистская Германия,105,157.87410989010989010989,2003,Point(10.686388888 53.869722222)
Flender Werke,Германский рейх,105,157.87410989010989010989,2003,Point(10.686388888 53.869722222)
Hakata Shipbuilding,Япония,104,98.23107843137254901961,2015,Point(132.765555555 33.841388888)
Девонпорт (военно-морская база),Великобритания,104,121.48578947368421052632,1970,Point(-4.185 50.385)
Kaiser Shipyards,США,103,146.90428571428571428571,1945,
Rolandwerft,Германия,103,114.78734693877551020408,2009,Point(8.54138889 53.18472222)
Avondale Shipyards,США,103,194.20916666666666666667,2006,Point(-90.185 29.924)
Варненский судостроительный завод,Болгария,102,158.01472527472527472527,2012,Point(27.901388888 43.195277777)
Pembroke Dockyard,Великобритания,102,70.81333333333333333333,1916,Point(-4.9548 51.6952)
Warnowwerft Warnemünde,ГДР,102,151.24733333333333333333,1999,Point(12.088333333 54.175277777)
Fore River Shipyard,США,100,483.005,1985,Point(-70.972388888 42.238819444)
Ateliers et Chantiers de la Loire,Франция,99,180.19714285714285714286,1950,Point(-2.213888888 47.273611111)
Sakaide Works,Япония,98,255.36846938775510204082,2018,Point(133.835277777 34.333888888)
Портсмут,Великобритания,97,127.92038461538461538462,1968,Point(-1.1025 50.804166666)
Karlskronavarvet,Швеция,96,63.97222222222222222222,2012,Point(15.65 56.18333333)
Damen Shipyards Bergum,Нидерланды,95,91.9343010752688172043,2017,
HHIC Phil,Филиппины,95,278.08271276595744680851,2019,
Ulstein Verft,Норвегия,95,90.55152173913043478261,2021,Point(5.821944444 62.340833333)
"Scheepswerf Peters, Kampen",Нидерланды,95,93.58703296703296703297,2023,Point(5.884444444 52.573333333)
Akers mekaniske verksted,Норвегия,94,136.94294117647058823529,1971,Point(10.72707694 59.90961)
Rickmers Werft,Германия,94,114.81720930232558139535,1986,Point(8.583333333 53.55)
Rickmers Werft,Германский рейх,94,114.81720930232558139535,1986,Point(8.583333333 53.55)
Нью-Йоркская военно-морская верфь,США,92,487.12857142857142857143,1941,Point(-73.973436111 40.702763888)
Trosvik Verksted,Норвегия,91,93.87171590909090909091,2020,Point(9.6850875 59.0548355)
Соломбальская верфь (казённая мануфактура),Российская империя,91,46.95,1856,Point(40.504 64.59)
Astilleros Zamakona,Испания,90,55.12006896551724137931,2026,Point(-15.431388888 28.127222222)
Austal,Австралия,90,64.305745,2021,Point(115.781 -32.169)
Wärtsilä,Финляндия,90,143.41627906976744186047,1998,Point(24.9375 60.170833333)
Адмиралтейские верфи,Россия,89,153.97423076923076923077,2012,Point(30.2725 59.91916667)
Götaverken,Швеция,89,152.38982456140350877193,1988,Point(11.93694 57.70917)
Alexander Stephen and Sons,Великобритания,87,136.60405405405405405405,1967,Point(-4.32967 55.8633)
Palmers Shipbuilding and Iron Company,Великобритания,87,110.266,1944,Point(-1.49 54.981388888)
IHI Corporation,Япония,86,232.18108108108108108108,2012,Point(139.691666666 35.689444444)
North American Shipbuilding,США,86,82.00204767441860465116,2018,Point(-90.376674665 29.585286109)
Dravo Corporation,США,85,0,1945,Point(-80.0 40.441666666)
William Doxford & Sons,Великобритания,85,169.24,1985,Point(-1.385 54.91)
Van der Giessen de Noord,Нидерланды,84,140.55666666666666666667,2003,Point(4.57178235 51.905899)
J. Samuel White,Великобритания,84,104.58125,1965,Point(-1.3002 50.7595)
Taizhou Kouan Shipbuilding Co Ltd,Китай,84,194.8155125,2020,Point(119.87668 32.32121)
Permanente Metals,США,83,140.37333333333333333333,1953,
Thames Ironworks and Shipbuilding Company,Великобритания,83,79.15103448275862068966,1912,Point(-0.1275 51.507222222)
Brødrene Aa,Норвегия,82,31.02602564102564102564,2021,Point(5.9225185 61.735868)
Херсонский судостроительный завод,Украина,82,157.12985714285714285714,2013,Point(32.587439 46.608954)
Nobiskrug,Германия,82,107.93381578947368421053,2015,Point(9.6974 54.3094)
Ольборгская судоверфь,Дания,82,106.35753424657534246575,1996,Point(9.917771 57.028811)
Lindenau Shipyard,Германия,81,131.82743243243243243243,2011,Point(10.17194444 54.38888889)
Kurinoura Dockyard,Япония,80,89.84810126582278481013,2013,Point(132.765555555 33.841388888)
Kvaerner Fjellstrand,Норвегия,80,51.74959459459459459459,2018,Point(5.973526111 60.217001944)
Scotts Shipbuilding and Engineering Company,Великобритания,80,126.6715,1976,Point(-4.766666666 55.95)
National Steel and Shipbuilding Company,США,79,215.75177777777777777778,2021,Point(-117.1625 32.715)
Nederlandse Scheepsbouw Maatschappij,Нидерланды,79,193.41887323943661971831,1982,Point(4.895168 52.398742)
Военно-морская верфь Филадельфии,США,79,141.66964,2004,Point(-75.18 39.89)
Hyundai Vinashin Shipyard,Вьетнам,78,192.67791666666666666667,2022,Point(109.0 12.333333333)
American Ship Building Company,США,78,261.31882352941176470588,1986,
Stavanger Støberi & Dok,Норвегия,76,90.15714285714285714286,1930,Point(5.7521782 58.9710033)
Volharding Shipyards,Нидерланды,76,117.8577027027027027027,2011,Point(6.709479 53.17297)
Elbewerft Boizenburg,ГДР,76,89.13507936507936507937,2003,Point(10.7091 53.37587)
Universal Shipbuilding,Япония,74,273.74140845070422535211,2014,Point(139.642527777 35.44775)
Sun Shipbuilding & Drydock Co.,США,74,192.305,1991,Point(-75.372777777 39.847222222)
Tsuneishi Miho Shipbuilding,Япония,73,94.16239436619718309859,2011,Point(138.489722222 35.015833333)
Yamanaka Shipbuilding,Япония,73,76.67123287671232876712,2013,Point(132.765555555 33.841388888)
Peene-Werft,Германия,73,134.62142857142857142857,2013,Point(13.766666666 54.05)
Havyard Ship Technology,Норвегия,72,87.61115277777777777778,2021,Point(5.3234446 61.1245683)
Amels,Нидерланды,72,55.40685714285714285714,2017,Point(3.57361 51.4425)
Vard Tulcea,Румыния,72,102.34171830985915492958,2020,
Brown Shipbuilding,США,72,0,1942,Point(-95.181 29.753)
Cassens Werft GmbH,Германия,72,97.61913043478260869565,2018,Point(7.206111111 53.366944444)
ENVC Shipyard,Португалия,72,111.07162318840579710145,2009,Point(-8.833333333 41.7)
Gio. Ansaldo & C.,Италия,72,157.33972972972972972973,1965,Point(8.933983333 44.407186111)
I-S Shipyard,Япония,71,176.27435483870967741935,2020,Point(132.765555555 33.841388888)
Vard Brattvaag,Норвегия,69,88.94984615384615384615,2019,Point(6.4438508 62.5916854)
North Carolina Shipbuilding Company,США,69,139.9,1945,Point(-77.982916 34.229479)
Barkmeijer Shipyards,Нидерланды,68,86.57712121212121212121,2019,Point(6.20919853 53.237452)
Bethlehem Fairfield Shipyard,,67,144.74235294117647058824,1973,Point(-76.615 39.286388888)
Kanadevia Corporation,Япония,67,164.24733333333333333333,1999,Point(135.502111111 34.69375)
Defoe Shipbuilding Company,США,67,154.66666666666666666667,1970,Point(-83.888639 43.59505)
Волгоградский судостроительный завод,Россия,67,108.248515625,2018,Point(44.514722222 48.708611111)
Bay Shipbuilding Company,США,66,215.305,2022,Point(-87.377777777 44.833611111)
Deptford Dockyard,Великобритания,66,53.10857142857142857143,1869,Point(-0.0276 51.4865)
Charleston Naval Shipyard,США,66,138.71666666666666666667,1944,Point(-79.964722 32.860556)
Regio Cantiere di Castellammare di Stabia,Италия,65,162.25266666666666666667,2015,Point(14.4678 40.6923)
Ferguson Shipbuilders,Великобритания,65,83.93557692307692307692,2016,Point(-4.69 55.94)
Szczecin Shipyard,Польша,65,168.12954098360655737705,2009,Point(14.555277777 53.424722222)
Deutsche Werft,Германия,65,168.3944,1969,Point(9.83 53.54)
Deutsche Werft,Нацистская Германия,65,168.3944,1969,Point(9.83 53.54)
Deutsche Werft,Веймарская республика,65,168.3944,1969,Point(9.83 53.54)
Deutsche Werft,Германская империя,65,168.3944,1969,Point(9.83 53.54)
Deutsche Werft,Германский рейх,65,168.3944,1969,Point(9.83 53.54)
Barclay Curle,Великобритания,65,178.86785714285714285714,1966,Point(-4.142222222 50.371388888)
Судостроительная корпорация Сиэтл-Такома,США,64,134.3,1950,
California Shipbuilding Corporation,США,64,151.46958333333333333333,1945,Point(-118.25138889 33.76111111)
Cantiere navale fratelli Orlando,Италия,64,135.87,2003,Point(10.30301 43.54268)
Incat,Австралия,64,88.76370967741935483871,2021,Point(147.316666666 -42.883333333)
Kegoya Dock,Япония,63,86.80031746031746031746,2015,Point(132.565722222 34.249222222)
Öresund shipyard,Швеция,63,138.78723404255319148936,2000,Point(12.837003835 55.879416408)
Uraga Dock Company,Япония,63,145.09368421052631578947,2000,Point(139.71644 35.24737)
Husumer Schiffswerft,Германия,63,59.05576271186440677966,2001,Point(9.051111111 54.476944444)
Remontowa,Польша,63,85.76443333333333333333,2025,Point(18.6540233 54.3482907)
Mitsui Engineering & Shipbuilding,Япония,62,196.28603773584905660377,2017,Point(139.771972222 35.670583333)
Frederikshavn Shipyard,Дания,62,119.51035087719298245614,1999,Point(10.5424 57.4372)
Damen Schelde Naval Shipbuilding,Нидерланды,62,134.70838709677419354839,2012,Point(3.583333333 51.45)
Q17749542,Норвегия,61,88.17283333333333333333,2018,Point(6.8979704 62.8180859)
Mjellem & Karlsen Verft,Норвегия,61,67.07490196078431372549,2002,Point(5.3250216 60.3818024)
Rauma-Repola,Финляндия,61,96.86140350877192982456,1991,Point(24.9375 60.170833333)
Collingwood Shipbuilding,Канада,61,185.97485714285714285714,2015,Point(-80.21797222 44.50422222)
Roßlauer Schiffswerft,ГДР,61,84.55465517241379310345,1993,Point(12.25 51.883333333)
Howaldtswerke Hamburg,Германия,61,151.30964912280701754386,1980,Point(10.0 53.55)
Howaldtswerke Hamburg,Германский рейх,61,151.30964912280701754386,1980,Point(10.0 53.55)
Elsinore Shipyard and Machine Construction,Дания,61,122.0174576271186440678,1983,Point(12.615679 56.037953)
Lithgows,Великобритания,61,170.07421052631578947368,1970,Point(-4.69 55.94)
Xiamen Shipbuilding Industry,Китай,60,174.32696491228070175439,2022,
Union Iron Works,США,60,4410,1918,Point(-122.419444444 37.775)
Davie Shipbuilding,Канада,60,157.84769230769230769231,1986,Point(-71.1667 46.8333)
Майдзуру,Япония,60,118.85,,Point(135.402 35.474)
Naval Group,Франция,60,147.53648648648648648649,2016,Point(2.352222222 48.856666666)
Woolwich Dockyard,Великобритания,59,51.45,1868,Point(0.056111111 51.494444444)
Aarhus Flydedok,Дания,59,83.63036363636363636364,2008,Point(10.2216 56.1558)
Earle's Shipbuilding,Великобритания,59,86.81714285714285714286,1932,Point(-0.3325 53.744444444)
Simek,Норвегия,58,69.41392857142857142857,2018,Point(6.654019444 58.284988888)
Meyer Turku,Финляндия,58,161.91707272727272727273,2026,Point(22.266944444 60.451666666)
Cantieri Navali del Tirreno Riuniti,Италия,58,117.33206896551724137931,1981,Point(8.933983333 44.407186111)
Kanasashi Heavy Industries,Япония,57,125.50814814814814814815,2011,Point(138.383 34.976944444)
Western Pipe and Steel Company,США,57,138.8025,1944,Point(-122.419444444 37.775)
Søviknes Verft,Норвегия,56,92.74740740740740740741,2021,Point(6.2721793 62.54844)
J.A. Jones Construction,,56,134.6,1945,Point(-80.843333333 35.226944444)
Выборгский судостроительный завод,Россия,56,109.96442307692307692308,2020,Point(28.749722222 60.710555555)
Norfolk Naval Shipyard,США,56,535.147,1995,Point(-76.297222222 36.815277777)
Stabilimento Tecnico Triestino,,56,160.24210526315789473684,1920,Point(13.770277777 45.650277777)
Q3655776,Италия,56,163.463125,2024,Point(12.250099 45.05984)
Damen Shipyards Hardinxveld,Нидерланды,56,38.54,2019,Point(4.8381 51.8256)
Vard Brăila,Румыния,55,100.17796296296296296296,2020,Point(27.961407 45.245637)
Ankerløkken Verft,Норвегия,55,137.66307692307692307692,2010,
Военно-морской арсенал в Йокосуке,Японская империя,55,205.5499375,1944,Point(139.66 35.29)
Hijos de J. Barreras,Испания,54,137.06851063829787234043,2022,Point(-8.740277777 42.225277777)
Severnav,Румыния,54,77.95,2021,Point(22.655555555 44.636111111)
Арсенал в Картахене,Испания,54,107.286,1936,Point(-0.98861111 37.60031111)
Smiths Dock Company,Великобритания,53,97.85454545454545454545,1982,Point(-1.17 54.58)
Caird & Company,Великобритания,53,123.8225,1920,
Abeking & Rasmussen,Германия,53,42.07521739130434782609,2025,Point(8.616666666 53.166666666)
Abeking & Rasmussen,Германский рейх,53,42.07521739130434782609,2025,Point(8.616666666 53.166666666)
Damen Shipyards Group,Нидерланды,53,97.83465116279069767442,2023,Point(4.974166666 51.830555555)
Arsenal da Marinha,Португалия,53,54.19361702127659574468,2014,Point(-9.139299 38.706288)
Fosen Yard,Норвегия,52,120.73923076923076923077,2015,Point(9.955555555 63.5875)
Daehan Shipbuilding,Республика Корея,51,266.12733333333333333333,2023,Point(126.3049 34.68623)
"Workman, Clark and Company",Великобритания,50,159.37777777777777777778,1931,Point(-5.93 54.596666666)
George Lawley & Son,США,50,0,1901,Point(-71.042 42.293)
Royal Van Lent,Нидерланды,50,53.384,2012,Point(4.5592 52.2128)
Kaldnes Mekaniske Verksted,Норвегия,49,134.08862068965517241379,1991,Point(10.399107 59.266248)
Mare Island NSY,США,49,160.968125,1930,Point(-122.263333 38.09)
Appledore Shipbuilders,Великобритания,49,76.85638297872340425532,2003,Point(-4.1945 51.0525)
Дешимаг,Нацистская Германия,49,127.90469696969696969697,1939,Point(8.807222222 53.075833333)
Дешимаг,Веймарская республика,49,127.90469696969696969697,1939,Point(8.807222222 53.075833333)
AVIC Dingheng Shipbuilding,Китай,48,142.08180851063829787234,2019,
Gravdal Skibsbyggeri,Норвегия,48,56.34230769230769230769,1978,Point(5.7122413 59.8341145)
Astilleros Armón Vigo,Испания,48,40.99021276595744680851,2016,Point(-8.74111111 42.225)
Rosenberg Mekaniske Verksted,Норвегия,48,180.58394736842105263158,1979,Point(5.731388888 58.97)
Canadian Vickers,Канада,48,243.9225,1966,Point(-73.5868411 45.5033426)
