companyLabel,countryLabel,shipsBuilt,avgLength,latestYear
Натанаэль Грин Херрешофф,,27,0,1941
Q83981618,Нидерланды,27,87.38,2008
Q16565979,Испания,26,113.19230769230769230769,2019
Q12716462,Норвегия,26,68.8625,2017
Österreichische Schiffswerften AG,Австрия,26,82.75045454545454545455,2017
Q6535665,США,26,79.79066666666666666667,1982
Q87594828,Испания,26,119.54916666666666666667,2009
Q1442711,Канада,26,120.1695,2014
Q11613289,Япония,26,138.21958333333333333333,2025
Q2151069,Великобритания,26,103.25,1924
Q107072485,Китай,26,227.16956,2024
Q1959394,Германия,25,83.68136363636363636364,2010
Q1003299,Норвегия,25,120.8325,1981
Q3077291,Франция,25,138.97333333333333333333,1949
Q11158393,Норвегия,25,199.6275,2009
Q1475066,Великобритания,25,154.1,1955
Q47109392,Норвегия,25,101.04391304347826086957,2003
Q4866203,США,25,195.5,1953
Q17209885,Япония,25,99.2104,2015
Q1342306,Великобритания,24,168.75777777777777777778,1893
Q23042271,Норвегия,24,56.34230769230769230769,1978
Q1145749,Нидерланды,24,189.76764705882352941176,1963
Q6102195,Испания,24,84.985,1902
Q109101856,Нидерланды,24,71.52875,1986
Q5658399,США,24,203,1903
Q17011535,Канада,24,63.5,1955
Q6917118,Швеция,23,30.495,1916
Q49961350,Бельгия,23,139.62739130434782608696,1995
Q11972223,Норвегия,23,90.20944444444444444444,1982
Q1564994,Франция,23,58.09,1884
Q11382415,Япония,23,101.83565217391304347826,2016
Q7330990,США,23,111.65714285714285714286,1945
Рошфор,Франция,23,61.77666666666666666667,1855
Q5139443,Великобритания,23,62.41238095238095238095,1991
Q24860611,Япония,23,129.16681818181818181818,2017
Q61389895,Испания,23,87.01428571428571428571,2025
Q115162063,Китай,23,147.23043478260869565217,2015
Odero-Terni-Orlando,Италия,23,119.62222222222222222222,1947
Q820324,Швеция,22,36.495,1916
Q889813,Нидерланды,22,43.5955,1990
Mort's Dock,Австралия,22,123.58,1953
Q2688471,Нидерланды,22,78.45136363636363636364,2024
Q1333820,Германия,22,78.42954545454545454545,1994
Q11982099,Норвегия,22,95.97083333333333333333,1982
Q6175323,США,22,77.495,1985
Q7926851,Канада,22,99.96076923076923076923,1966
Q4804169,Чили,22,65.81857142857142857143,2017
Q5707447,Норвегия,22,70.45285714285714285714,2014
Cochin Shipyard,Индия,22,110.68863636363636363636,2014
Q115162004,Турция,22,105.88181818181818181818,2015
Q8010773,Великобритания,21,167.49,1961
Q2258010,Бельгия,21,150.72666666666666666667,1994
Лорьян,Франция,21,101.995,1877
Q18287543,Швеция,21,180.424375,1983
Q47136413,Норвегия,21,32.484,2002
Q19374770,Норвегия,21,142.43454545454545454545,1982
Q50942088,Нидерланды,21,85.24578947368421052632,2024
Q31843822,Хорватия,21,157.44428571428571428571,2019
Q14548994,Германия,21,33.11238095238095238095,1958
Q2506669,Великобритания,20,61.12,2005
Судоверфь Кавасаки,Японская империя,20,162.028,1930
Deutsche Werke,Германский рейх,20,222.41428571428571428571,1936
Q2868909,Франция,20,165.82833333333333333333,1987
Q809584,Великобритания,20,127.75636363636363636364,1969
Q12718333,Норвегия,20,51.427,1987
Q14685545,США,20,83.67,1884
Кралевица,Хорватия,20,87.33222222222222222222,2009
Q52278699,Норвегия,20,39.91222222222222222222,2009
Q17328871,Нидерланды,20,92.82,1979
Q7681729,США,20,0,1942
Q688581,Германия,20,69.47538461538461538462,1997
Ильичевский судоремонтный завод,Украина,20,31.90066666666666666667,1990
Гороховецкий судостроительный завод,Россия,20,40.4275,1992
Q57312653,Индонезия,20,48.235,2013
Q54165931,США,20,108.15266315789473684211,2025
Q1678193,Германия,19,42.55894736842105263158,1990
Q13188857,Германия,19,45.36388888888888888889,2022
Q3348682,Нидерланды,19,82.16473684210526315789,2023
Q7987425,Норвегия,19,33.564,1990
Q2597892,США,19,119.25,1946
Portsmouth NSY,США,19,0,1843
Q10275472,Бразилия,19,168.98526315789473684211,2014
Q102436595,Япония,19,188.80125,2014
Q109478920,Нидерланды,19,70.22,1986
Kaiserliche Werft Wilhelmshaven,Германия,19,129.64421052631578947368,
Kaiserliche Werft Wilhelmshaven,Германская империя,19,129.64421052631578947368,
Q2615597,,18,20.88,1907
Q47121131,Норвегия,18,50.85294117647058823529,1983
Q48816402,Великобритания,18,83.755,1932
Q5131143,Великобритания,18,75.54764705882352941176,1983
Q22126509,Япония,18,124.49555555555555555556,1995
Q30299580,Норвегия,18,44.77777777777777777778,2014
Umoe Mandal,Норвегия,18,49.27857142857142857143,2017
Q52502362,Норвегия,18,62.88888888888888888889,2023
Q1008067,Венгрия,18,71.51,1971
Huntington Ingalls Industries,США,18,240.11666666666666666667,
Electric Launch Company,США,18,0,
Kaiserliche Werft Kiel,Германская империя,17,121.25235294117647058824,1909
Q127634403,,17,133.4325,2023
